"question_id","participant_id","answer","time","correct","type","size","layout","domain_question"
32,2,"Gym overuse -> taking supplements -> Evident results                                                                                                                                                                                                                                                        ","42.879","yes                           ","matrix                        ","large                         ","alpha                         ","gym                           "
11,2,"Pass exams                                                                                                                                                                                                                                                                                                  ","9.864","yes                           ","matrix                        ","small                         ","inDD                          ","student                       "
34,2,"Gym buddy -> social gym experience -> pleasant gym                                                                                                                                                                                                                                                          ","43.687","yes                           ","matrix                        ","large                         ","outDD                         ","student                       "
4,2,"Doing sports -> participation in team sports -> team work behaviour                                                                                                                                                                                                                                         ","17.736","yes                           ","node-linked                   ","small                         ","organic                       ","gym                           "
19,2,"Doesn't miss deadlines                                                                                                                                                                                                                                                                                      ","21.327","yes                           ","matrix                        ","medium                        ","alpha                         ","student                       "
6,2,"Self-motivation -> independent work -> pass exams                                                                                                                                                                                                                                                           ","21.56","yes                           ","node-linked                   ","small                         ","parallel                      ","student                       "
5,2,"Successful Debates                                                                                                                                                                                                                                                                                          ","13.688","yes                           ","node-linked                   ","small                         ","parallel                      ","student                       "
9,2,"Better social life                                                                                                                                                                                                                                                                                          ","9.75","yes                           ","matrix                        ","small                         ","outDD                         ","gym                           "
16,2,"Negative parenting -> childhood issues -> drinking parents                                                                                                                                                                                                                                                  ","47.929","yes                           ","node-linked                   ","medium                        ","organic                       ","drinking                      "
2,2,"Childhood issues -> drinking parents -> underaged drinking                                                                                                                                                                                                                                                  ","41.591","yes                           ","node-linked                   ","small                         ","hier                          ","drinking                      "
24,2,"Anxiety to attend -> gym dislike -> sports avoidance                                                                                                                                                                                                                                                        ","26.297","yes                           ","matrix                        ","medium                        ","inDD                          ","gym                           "
23,2,"Health issues                                                                                                                                                                                                                                                                                               ","17.519","yes                           ","matrix                        ","medium                        ","inDD                          ","gym                           "
35,3,"Low salary                                                                                                                                                                                                                                                                                                  ","11.511","yes                           ","matrix                        ","large                         ","inDD                          ","drinking                      "
33,3,"Gym buddy                                                                                                                                                                                                                                                                                                   ","13.568","yes                           ","matrix                        ","large                         ","outDD                         ","student                       "
30,3,"Emotional problems -> binge eating -> health issues                                                                                                                                                                                                                                                         ","22.17","yes                           ","node-linked                   ","large                         ","parallel                      ","drinking                      "
9,3,"Better social life                                                                                                                                                                                                                                                                                          ","7.609","yes                           ","matrix                        ","small                         ","outDD                         ","gym                           "
15,3,"Low salary                                                                                                                                                                                                                                                                                                  ","12.177","yes                           ","node-linked                   ","medium                        ","organic                       ","drinking                      "
14,3,"Self-motivation -> independent work -> pass exams                                                                                                                                                                                                                                                           ","7.515","yes                           ","node-linked                   ","medium                        ","hier                          ","student                       "
20,3,"Meditation -> relaxed self -> pass exams                                                                                                                                                                                                                                                                    ","17.487","yes                           ","matrix                        ","medium                        ","alpha                         ","student                       "
19,3,"Doesn't miss deadlines                                                                                                                                                                                                                                                                                      ","11.951","yes                           ","matrix                        ","medium                        ","alpha                         ","student                       "
7,3,"Behavioural issues                                                                                                                                                                                                                                                                                          ","9.12","yes                           ","matrix                        ","small                         ","alpha                         ","drinking                      "
23,3,"Health issues                                                                                                                                                                                                                                                                                               ","12.056","yes                           ","matrix                        ","medium                        ","inDD                          ","gym                           "
16,3,"Gambling -> depression -> obesity                                                                                                                                                                                                                                                                           ","62.649","no                            ","node-linked                   ","medium                        ","organic                       ","drinking                      "
4,3,"Doing sports -> participation in team sports -> team work behaviour                                                                                                                                                                                                                                         ","12.232","yes                           ","node-linked                   ","small                         ","organic                       ","gym                           "
27,3,"Pass exams                                                                                                                                                                                                                                                                                                  ","20.723","yes                           ","node-linked                   ","large                         ","organic                       ","student                       "
24,3,"Anxiety to attend -> gym dislike -> sports avoidance                                                                                                                                                                                                                                                        ","34.08","yes                           ","matrix                        ","medium                        ","inDD                          ","gym                           "
3,3,"More friends                                                                                                                                                                                                                                                                                                ","16.032","yes                           ","node-linked                   ","small                         ","organic                       ","gym                           "
17,3,"Sports avoidance                                                                                                                                                                                                                                                                                            ","11.526","yes                           ","node-linked                   ","medium                        ","parallel                      ","gym                           "
10,3,"Join sports societies -> more friends -> better social life                                                                                                                                                                                                                                                 ","35.12","yes                           ","matrix                        ","small                         ","outDD                         ","gym                           "
12,3,"Good argumentation -> critical thinking -> successful debates                                                                                                                                                                                                                                               ","14.008","yes                           ","matrix                        ","small                         ","inDD                          ","student                       "
11,3,"Pass exams                                                                                                                                                                                                                                                                                                  ","13.235","yes                           ","matrix                        ","small                         ","inDD                          ","student                       "
1,3,"Depression                                                                                                                                                                                                                                                                                                  ","6.992","yes                           ","node-linked                   ","small                         ","hier                          ","drinking                      "
31,3,"Pleasant gym time                                                                                                                                                                                                                                                                                           ","14.015","yes                           ","matrix                        ","large                         ","alpha                         ","gym                           "
22,3,"Drinking parents->underaged drinking -> gambling                                                                                                                                                                                                                                                            ","15.409","yes                           ","matrix                        ","medium                        ","outDD                         ","drinking                      "
